n,k,nk,architecture,threshold,tau_BP,censored,tau_baseline,baseline_censored,delta_tau,abs_delta_tau
8,3,24,brickwall,0.001,31,True,16,False,15,15
8,4,32,brickwall,0.001,31,True,13,False,18,18
8,5,40,brickwall,0.001,31,True,10,False,21,21
8,6,48,brickwall,0.001,31,True,7,False,24,24
8,8,64,brickwall,0.001,31,True,2,False,29,29
10,2,20,brickwall,0.001,31,True,17,False,14,14
10,3,30,brickwall,0.001,31,True,14,False,17,17
10,4,40,brickwall,0.001,31,True,11,False,20,20
10,5,50,brickwall,0.001,31,True,8,False,23,23
10,6,60,brickwall,0.001,31,True,3,False,28,28
10,8,80,brickwall,0.001,31,True,2,False,29,29
10,10,100,brickwall,0.001,31,True,2,False,29,29
12,2,24,brickwall,0.001,31,True,15,False,16,16
12,3,36,brickwall,0.001,31,True,12,False,19,19
12,4,48,brickwall,0.001,31,True,9,False,22,22
12,5,60,brickwall,0.001,28,False,4,False,24,24
12,6,72,brickwall,0.001,23,False,4,False,19,19
12,8,96,brickwall,0.001,13,False,2,False,11,11
12,10,120,brickwall,0.001,5,False,2,False,3,3
12,12,144,brickwall,0.001,4,False,2,False,2,2
14,2,28,brickwall,0.001,31,True,13,False,18,18
14,3,42,brickwall,0.001,31,True,10,False,21,21
14,4,56,brickwall,0.001,29,False,7,False,22,22
14,5,70,brickwall,0.001,24,False,4,False,20,20
14,6,84,brickwall,0.001,19,False,2,False,17,17
14,8,112,brickwall,0.001,11,False,2,False,9,9
14,10,140,brickwall,0.001,5,False,2,False,3,3
14,12,168,brickwall,0.001,3,False,1,False,2,2
14,14,196,brickwall,0.001,2,False,1,False,1,1
16,2,32,brickwall,0.001,31,True,12,False,19,19
16,3,48,brickwall,0.001,31,True,10,False,21,21
16,4,64,brickwall,0.001,29,False,7,False,22,22
16,5,80,brickwall,0.001,24,False,2,False,22,22
16,6,96,brickwall,0.001,19,False,2,False,17,17
16,8,128,brickwall,0.001,11,False,2,False,9,9
16,10,160,brickwall,0.001,4,False,2,False,2,2
